,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,75,LR,1603842859,94,6.65,-10.59,26.0,0.18
1,casablanca,0,MA,1603842821,93,33.59,-7.62,16.67,2.6
2,monrovia,75,LR,1603842860,94,6.3,-10.8,26.0,4.26
3,klaksvik,92,FO,1603842764,86,62.23,-6.59,8.15,10.23
4,half moon bay,75,LR,1603842860,94,6.38,-10.7,26.0,1.66
5,vaini,4,TO,1603842860,76,-21.2,-175.2,22.91,12.1
6,ribeira grande,75,ES,1603842860,93,42.75,-8.44,13.89,1.5
7,cape town,75,CL,1603842860,62,-36.41,-71.9,13.0,3.6
8,cherskiy,100,RU,1603842861,92,68.75,161.3,-10.01,3.97
9,jamestown,90,US,1603842765,100,42.1,-79.24,5.0,1.56
10,mar del plata,75,ES,1603842861,100,43.4,-4.01,15.0,2.6
11,rikitea,100,PF,1603842861,83,-23.12,-134.97,24.13,7.13
12,severo-kurilsk,9,RU,1603842717,78,50.68,156.12,7.33,2.6
13,fort saint john,100,NL,1603842861,92,52.65,6.39,10.56,0.89
14,champerico,40,GT,1603842862,66,14.3,-91.92,30.0,3.1
15,sao filipe,0,IN,1603842862,50,20.51,76.21,19.38,1.07
16,castro,0,BR,1603842862,63,-24.79,-50.01,15.95,1.71
17,hilo,90,US,1603842862,78,19.73,-155.09,27.0,3.64
18,gornopravdinsk,76,RU,1603842862,95,60.05,69.9,-10.06,3.61
19,harrisburg,90,US,1603842706,62,40.27,-76.88,14.0,1.84
20,clarence town,90,US,1603842862,81,42.98,-78.59,6.11,3.6
21,nikolskoye,90,RU,1603842863,87,59.7,30.79,11.11,4.0
22,hobart,75,AU,1603842786,66,-42.88,147.33,14.44,4.1
23,chokurdakh,100,RU,1603842863,97,70.63,147.92,-10.93,1.26
24,roma,90,US,1603842618,87,43.21,-75.46,6.11,1.63
25,bereda,99,ES,1603842863,100,43.27,-7.54,12.22,3.13
26,bluff,14,NZ,1603842863,64,-46.6,168.33,14.44,1.79
27,lebu,98,CL,1603842844,82,-37.62,-73.65,10.4,5.5
28,geraldton,90,AU,1603842864,60,-28.77,114.6,20.0,7.7
29,pisco,0,PE,1603842864,77,-13.7,-76.22,18.0,8.7
30,faanui,91,PF,1603842864,82,-16.48,-151.75,26.63,8.37
31,saint-augustin,82,CA,1603842864,90,51.23,-58.65,-0.42,1.73
32,busselton,14,AU,1603842864,93,-33.65,115.33,15.56,3.69
33,port lincoln,73,CD,1603842864,61,-7.03,29.76,24.35,1.48
34,avarua,100,CK,1603842685,78,-21.21,-159.78,23.0,3.1
35,wewak,75,PG,1603842865,74,-3.55,143.63,28.41,1.74
36,kassala,0,SD,1603842865,48,15.45,36.4,26.51,3.29
37,barrow,75,US,1603842709,63,71.29,-156.79,-1.0,8.7
